lat,lon,nearest_station_name
42.0,-58.5,Halifax
42.0,-58.0,Halifax
42.0,-57.5,Halifax
42.0,-57.0,Halifax
42.0,-56.5,Halifax
42.0,-56.0,St. John's
42.0,-55.5,St. John's
42.0,-55.0,St. John's
42.0,-54.5,St. John's
42.0,-54.0,St. John's
42.0,-53.5,St. John's
42.0,-53.0,St. John's
42.0,-52.5,St. John's
42.5,-141.0,Victoria
42.5,-140.5,Victoria
42.5,-140.0,Victoria
42.5,-139.5,Victoria
42.5,-139.0,Victoria
42.5,-138.5,Victoria
42.5,-138.0,Victoria
42.5,-137.5,Victoria
42.5,-137.0,Victoria
42.5,-136.5,Victoria
42.5,-136.0,Victoria
42.5,-135.5,Victoria
42.5,-135.0,Victoria
42.5,-134.5,Victoria
42.5,-134.0,Victoria
42.5,-133.5,Victoria
42.5,-133.0,Victoria
42.5,-132.5,Victoria
42.5,-132.0,Victoria
42.5,-131.5,Victoria
42.5,-131.0,Victoria
42.5,-130.5,Victoria
42.5,-130.0,Victoria
42.5,-129.5,Victoria
42.5,-129.0,Victoria
42.5,-128.5,Victoria
42.5,-128.0,Victoria
42.5,-127.5,Victoria
42.5,-127.0,Victoria
42.5,-126.5,Victoria
42.5,-126.0,Victoria
42.5,-125.5,Victoria
42.5,-125.0,Victoria
42.5,-124.5,Victoria
42.5,-124.0,Victoria
42.5,-123.5,Victoria
42.5,-123.0,Victoria
42.5,-122.5,Victoria
42.5,-122.0,Victoria
42.5,-121.5,Victoria
42.5,-121.0,Victoria
42.5,-120.5,Victoria
42.5,-120.0,Victoria
42.5,-119.5,Victoria
42.5,-119.0,Victoria
42.5,-118.5,Victoria
42.5,-118.0,Victoria
42.5,-117.5,Victoria
42.5,-117.0,Victoria
42.5,-116.5,Victoria
42.5,-116.0,Kelowna
42.5,-115.5,Kelowna
42.5,-115.0,Kelowna
42.5,-114.5,Kelowna
42.5,-114.0,Kelowna
42.5,-113.5,Kelowna
42.5,-113.0,Calgary
42.5,-112.5,Calgary
42.5,-112.0,Calgary
42.5,-111.5,Calgary
42.5,-111.0,Calgary
42.5,-110.5,Calgary
42.5,-110.0,Regina
42.5,-109.5,Regina
42.5,-109.0,Regina
42.5,-108.5,Regina
42.5,-108.0,Regina
42.5,-107.5,Regina
42.5,-107.0,Regina
42.5,-106.5,Regina
42.5,-106.0,Regina
42.5,-105.5,Regina
42.5,-105.0,Regina
42.5,-104.5,Regina
42.5,-104.0,Regina
42.5,-103.5,Regina
42.5,-103.0,Regina
42.5,-102.5,Regina
42.5,-102.0,Winnipeg
42.5,-101.5,Winnipeg
42.5,-101.0,Winnipeg
42.5,-100.5,Winnipeg
42.5,-100.0,Winnipeg
42.5,-99.5,Winnipeg
42.5,-99.0,Winnipeg
42.5,-98.5,Winnipeg
42.5,-98.0,Winnipeg
42.5,-97.5,Winnipeg
42.5,-97.0,Winnipeg
42.5,-96.5,Winnipeg
42.5,-96.0,Winnipeg
42.5,-95.5,Thunder Bay
42.5,-95.0,Thunder Bay
42.5,-94.5,Thunder Bay
42.5,-94.0,Thunder Bay
42.5,-93.5,Thunder Bay
42.5,-93.0,Thunder Bay
42.5,-92.5,Thunder Bay
42.5,-92.0,Thunder Bay
42.5,-91.5,Thunder Bay
42.5,-91.0,Thunder Bay
42.5,-90.5,Thunder Bay
42.5,-90.0,Thunder Bay
42.5,-89.5,Thunder Bay
42.5,-89.0,Thunder Bay
42.5,-88.5,Thunder Bay
42.5,-88.0,Thunder Bay
42.5,-87.5,Thunder Bay
42.5,-87.0,Toronto
42.5,-86.5,Toronto
42.5,-86.0,Toronto
42.5,-85.5,Toronto
42.5,-85.0,Toronto
42.5,-84.5,Toronto
42.5,-84.0,Toronto
42.5,-83.5,Toronto
42.5,-83.0,Toronto
42.5,-82.5,Toronto
42.5,-82.0,Toronto
42.5,-81.5,Toronto
42.5,-81.0,Toronto
42.5,-80.5,Toronto
42.5,-80.0,Toronto
42.5,-79.5,Toronto
42.5,-79.0,Toronto
42.5,-78.5,Toronto
42.5,-78.0,Toronto
42.5,-77.5,Toronto
42.5,-77.0,Toronto
42.5,-76.5,Toronto
42.5,-76.0,Toronto
42.5,-75.5,Ottawa
42.5,-75.0,Ottawa
42.5,-74.5,Ottawa
42.5,-74.0,Montreal
42.5,-73.5,Montreal
42.5,-73.0,Montreal
42.5,-72.5,Montreal
42.5,-72.0,Montreal
42.5,-71.5,Montreal
42.5,-71.0,Montreal
42.5,-70.5,Montreal
42.5,-70.0,Montreal
42.5,-69.5,Montreal
42.5,-69.0,Montreal
42.5,-68.5,Halifax
42.5,-68.0,Halifax
42.5,-67.5,Halifax
42.5,-67.0,Halifax
42.5,-66.5,Halifax
42.5,-66.0,Halifax
42.5,-65.5,Halifax
42.5,-65.0,Halifax
42.5,-64.5,Halifax
42.5,-64.0,Halifax
42.5,-63.5,Halifax
42.5,-63.0,Halifax
42.5,-62.5,Halifax
42.5,-62.0,Halifax
42.5,-61.5,Halifax
42.5,-61.0,Halifax
42.5,-60.5,Halifax
42.5,-60.0,Halifax
42.5,-59.5,Halifax
42.5,-59.0,Halifax
42.5,-58.5,Halifax
42.5,-58.0,Halifax
42.5,-57.5,Halifax
42.5,-57.0,Halifax
42.5,-56.5,Halifax
42.5,-56.0,St. John's
42.5,-55.5,St. John's
42.5,-55.0,St. John's
42.5,-54.5,St. John's
42.5,-54.0,St. John's
42.5,-53.5,St. John's
42.5,-53.0,St. John's
42.5,-52.5,St. John's
43.0,-141.0,Victoria
43.0,-140.5,Victoria
43.0,-140.0,Victoria
43.0,-139.5,Victoria
