cell_id,lat,lon
49.0000_-56.5000,49.0,-56.5
49.0000_-57.0000,49.0,-57.0
49.0000_-57.5000,49.0,-57.5
49.0000_-58.0000,49.0,-58.0
49.0000_-58.5000,49.0,-58.5
49.0000_-62.0000,49.0,-62.0
49.0000_-64.5000,49.0,-64.5
49.0000_-65.0000,49.0,-65.0
49.0000_-65.5000,49.0,-65.5
49.0000_-66.0000,49.0,-66.0
49.0000_-66.5000,49.0,-66.5
49.0000_-67.0000,49.0,-67.0
49.0000_-68.5000,49.0,-68.5
49.0000_-69.0000,49.0,-69.0
49.0000_-69.5000,49.0,-69.5
49.0000_-70.0000,49.0,-70.0
49.0000_-70.5000,49.0,-70.5
49.0000_-71.0000,49.0,-71.0
49.0000_-71.5000,49.0,-71.5
49.0000_-72.0000,49.0,-72.0
49.0000_-72.5000,49.0,-72.5
49.0000_-73.0000,49.0,-73.0
49.0000_-73.5000,49.0,-73.5
49.0000_-74.0000,49.0,-74.0
49.0000_-74.5000,49.0,-74.5
49.0000_-75.0000,49.0,-75.0
49.0000_-75.5000,49.0,-75.5
49.0000_-76.0000,49.0,-76.0
49.0000_-76.5000,49.0,-76.5
49.0000_-77.0000,49.0,-77.0
49.0000_-77.5000,49.0,-77.5
49.0000_-78.0000,49.0,-78.0
49.0000_-78.5000,49.0,-78.5
49.0000_-79.0000,49.0,-79.0
49.0000_-79.5000,49.0,-79.5
49.0000_-80.0000,49.0,-80.0
49.0000_-80.5000,49.0,-80.5
49.0000_-81.0000,49.0,-81.0
49.0000_-81.5000,49.0,-81.5
49.0000_-82.0000,49.0,-82.0
49.0000_-82.5000,49.0,-82.5
49.0000_-83.0000,49.0,-83.0
49.0000_-83.5000,49.0,-83.5
49.0000_-84.0000,49.0,-84.0
49.0000_-84.5000,49.0,-84.5
49.0000_-85.0000,49.0,-85.0
49.0000_-85.5000,49.0,-85.5
49.0000_-86.0000,49.0,-86.0
49.0000_-86.5000,49.0,-86.5
49.0000_-87.0000,49.0,-87.0
49.0000_-87.5000,49.0,-87.5
49.0000_-88.0000,49.0,-88.0
49.0000_-88.5000,49.0,-88.5
49.0000_-89.0000,49.0,-89.0
49.0000_-89.5000,49.0,-89.5
49.0000_-90.0000,49.0,-90.0
49.0000_-90.5000,49.0,-90.5
49.0000_-91.0000,49.0,-91.0
49.0000_-91.5000,49.0,-91.5
49.0000_-92.0000,49.0,-92.0
49.0000_-92.5000,49.0,-92.5
49.0000_-93.0000,49.0,-93.0
49.0000_-93.5000,49.0,-93.5
49.0000_-94.0000,49.0,-94.0
49.0000_-94.5000,49.0,-94.5
49.0000_-95.5000,49.0,-95.5
49.0000_-96.0000,49.0,-96.0
49.0000_-96.5000,49.0,-96.5
49.0000_-97.0000,49.0,-97.0
49.0000_-97.5000,49.0,-97.5
49.0000_-98.0000,49.0,-98.0
49.0000_-98.5000,49.0,-98.5
49.0000_-99.0000,49.0,-99.0
49.0000_-99.5000,49.0,-99.5
49.5000_-100.0000,49.5,-100.0
49.5000_-100.5000,49.5,-100.5
49.5000_-101.0000,49.5,-101.0
49.5000_-101.5000,49.5,-101.5
49.5000_-102.0000,49.5,-102.0
49.5000_-102.5000,49.5,-102.5
49.5000_-103.0000,49.5,-103.0
49.5000_-103.5000,49.5,-103.5
49.5000_-104.0000,49.5,-104.0
49.5000_-104.5000,49.5,-104.5
49.5000_-105.0000,49.5,-105.0
49.5000_-105.5000,49.5,-105.5
49.5000_-106.0000,49.5,-106.0
49.5000_-106.5000,49.5,-106.5
49.5000_-107.0000,49.5,-107.0
49.5000_-107.5000,49.5,-107.5
49.5000_-108.0000,49.5,-108.0
49.5000_-108.5000,49.5,-108.5
49.5000_-109.0000,49.5,-109.0
49.5000_-109.5000,49.5,-109.5
49.5000_-110.0000,49.5,-110.0
49.5000_-110.5000,49.5,-110.5
49.5000_-111.0000,49.5,-111.0
49.5000_-111.5000,49.5,-111.5
49.5000_-112.0000,49.5,-112.0
49.5000_-112.5000,49.5,-112.5
49.5000_-113.0000,49.5,-113.0
49.5000_-113.5000,49.5,-113.5
49.5000_-114.0000,49.5,-114.0
49.5000_-114.5000,49.5,-114.5
49.5000_-115.0000,49.5,-115.0
49.5000_-115.5000,49.5,-115.5
49.5000_-116.0000,49.5,-116.0
49.5000_-116.5000,49.5,-116.5
49.5000_-117.0000,49.5,-117.0
49.5000_-117.5000,49.5,-117.5
49.5000_-118.0000,49.5,-118.0
49.5000_-118.5000,49.5,-118.5
49.5000_-119.0000,49.5,-119.0
49.5000_-119.5000,49.5,-119.5
49.5000_-120.0000,49.5,-120.0
49.5000_-120.5000,49.5,-120.5
