lat,lon,date,temperature,humidity,wind_speed,pressure,precip_24h_mm
46.5,-79.5,2026-09-21 22:48:23,11.324000000000012,53.64274139404297,10.285260721564294,985.15,0.0
46.5,-79.0,2026-09-21 22:48:23,11.39100000000002,55.14274139404297,9.691260721564293,987.79,0.046
46.5,-78.5,2026-09-21 22:48:23,11.864000000000033,49.01774139404297,10.231260721564293,986.49,0.0
46.5,-78.0,2026-09-21 22:48:23,12.011000000000024,48.04274139404297,9.529260721564293,984.71,0.0
46.5,-77.5,2026-09-21 22:48:23,12.390000000000043,42.19274139404297,9.799260721564293,980.62,0.061
46.5,-77.0,2026-09-21 22:48:23,12.535000000000025,46.79274139404297,12.139260721564293,990.21,0.023
46.5,-76.5,2026-09-21 22:48:23,12.821000000000026,41.592741394042974,8.863260721564293,988.54,0.0075
46.5,-76.0,2026-09-21 22:48:23,12.511000000000024,50.66774139404297,10.141260721564294,1001.26,0.061
46.5,-75.5,2026-09-21 22:48:23,12.325000000000045,50.66774139404297,10.303260721564294,995.9,0.0
46.5,-75.0,2026-09-21 22:48:23,12.624000000000024,49.14274139404297,9.601260721564293,988.32,0.0305
46.5,-74.5,2026-09-21 22:48:23,11.310000000000002,50.01774139404297,8.809260721564295,966.37,0.0305
46.5,-74.0,2026-09-21 22:48:23,10.75200000000001,51.29274139404297,10.699260721564293,959.37,0.0
46.5,-73.5,2026-09-21 22:48:23,11.722000000000037,48.64274139404297,10.249260721564294,974.59,0.0
46.5,-73.0,2026-09-21 22:48:23,12.42100000000005,50.092741394042974,11.221260721564294,996.01,0.0765
46.5,-72.5,2026-09-21 22:48:23,14.441000000000031,47.94274139404297,11.581260721564295,1018.76,0.0
46.5,-72.0,2026-09-21 22:48:23,14.358000000000004,49.89274139404297,10.645260721564293,1014.68,0.0155
46.5,-71.5,2026-09-21 22:48:23,14.607000000000028,49.31774139404297,8.917260721564293,1006.2,0.0155
46.5,-71.0,2026-09-21 22:48:23,13.224000000000046,57.04274139404297,8.431260721564295,994.3,1.045
46.5,-70.5,2026-09-21 22:48:23,13.036000000000001,55.467741394042974,9.817260721564294,967.13,0.9535
46.5,-70.0,2026-09-21 22:48:23,13.597000000000037,52.66774139404297,10.663260721564292,977.15,0.595
46.5,-67.5,2026-09-21 22:48:23,12.506000000000029,74.90332489013672,11.112360827565194,994.0,1.5795000000000001
46.5,-67.0,2026-09-21 22:48:23,13.68300000000005,67.90332489013672,10.554360827565194,989.74,0.3205
46.5,-66.5,2026-09-21 22:48:23,15.985000000000014,60.70332489013672,8.178360827565195,999.8,0.0
46.5,-66.0,2026-09-21 22:48:23,16.55400000000003,63.30332489013672,4.470360827565194,1005.64,0.0
46.5,-65.5,2026-09-21 22:48:23,16.479000000000042,61.878324890136724,4.614360827565194,1006.05,0.0
