lat,lon,in_canada,historical_fire,hist_fire_any_prior,hist_fire_count_prior_20y_log1p,years_since_last_fire
42.0,-103.0,False,0,0,0.0,0.0
42.0,-102.5,False,0,0,0.0,0.0
42.0,-102.0,False,0,0,0.0,0.0
42.0,-101.5,False,0,0,0.0,0.0
42.0,-101.0,False,0,0,0.0,0.0
42.0,-100.5,False,0,0,0.0,0.0
42.0,-100.0,False,0,0,0.0,0.0
42.0,-99.5,False,0,0,0.0,0.0
42.0,-99.0,False,0,0,0.0,0.0
42.0,-98.5,False,0,0,0.0,0.0
42.0,-98.0,False,0,0,0.0,0.0
42.0,-97.5,False,0,0,0.0,0.0
42.0,-97.0,False,0,0,0.0,0.0
42.0,-96.5,False,0,0,0.0,0.0
42.0,-96.0,False,0,0,0.0,0.0
42.0,-95.5,False,0,0,0.0,0.0
42.0,-95.0,False,0,0,0.0,0.0
42.0,-94.5,False,0,0,0.0,0.0
42.0,-94.0,False,0,0,0.0,0.0
42.0,-93.5,False,0,0,0.0,0.0
42.0,-93.0,False,0,0,0.0,0.0
42.0,-92.5,False,0,0,0.0,0.0
42.0,-92.0,False,0,0,0.0,0.0
42.0,-91.5,False,0,0,0.0,0.0
42.0,-91.0,False,0,0,0.0,0.0
42.0,-90.5,False,0,0,0.0,0.0
42.0,-90.0,False,0,0,0.0,0.0
42.0,-89.5,False,0,0,0.0,0.0
42.0,-89.0,False,0,0,0.0,0.0
42.0,-88.5,False,0,0,0.0,0.0
42.0,-88.0,False,0,0,0.0,0.0
42.0,-87.5,False,0,0,0.0,0.0
42.0,-87.0,False,0,0,0.0,0.0
42.0,-86.5,False,0,0,0.0,0.0
42.0,-86.0,False,0,0,0.0,0.0
42.0,-85.5,False,0,0,0.0,0.0
42.0,-85.0,False,0,0,0.0,0.0
42.0,-84.5,False,0,0,0.0,0.0
42.0,-84.0,False,0,0,0.0,0.0
42.0,-83.5,False,0,0,0.0,0.0
42.0,-83.0,True,1,1,1.0986122886681098,16.0
42.0,-82.5,True,1,1,3.713572066704308,1.0
42.0,-82.0,True,0,0,0.0,40.0
42.0,-81.5,False,0,0,0.0,0.0
42.0,-81.0,False,0,0,0.0,0.0
42.0,-80.5,False,0,0,0.0,0.0
42.0,-80.0,False,0,0,0.0,0.0
42.0,-79.5,False,0,0,0.0,0.0
42.0,-79.0,False,0,0,0.0,0.0
